                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4489,                 2.8537,                 1.6504,                0.00344,                      1,                0.27736,                0.16821,                0.97671,                 3.1268,                 1.4889,                0.00016,                0.00016,                0.00016
                      2,                  1.296,                 2.4086,                 1.5452,                0.00344,                      1,                0.40078,                0.21788,                 1.0771,                 3.0961,                 1.6269,             0.00032317,             0.00032317,             0.00032317
                      3,                 1.2398,                 2.1002,                 1.5152,                      1,                0.05747,                0.30529,                0.18681,                 1.1421,                 3.0881,                 1.6787,             0.00046852,             0.00046852,             0.00046852
                      4,                 1.3525,                 2.0797,                  1.565,                0.77967,                0.33229,                0.47559,                 0.1836,                 1.5577,                 3.2835,                 2.0322,             0.00059605,             0.00059605,             0.00059605
                      5,                 1.3112,                  1.965,                 1.5486,                0.33489,                    0.5,                0.42899,                0.15268,                 1.4569,                 3.0528,                 2.2432,             0.00070576,             0.00070576,             0.00070576
                      6,                 1.3319,                 1.9649,                  1.544,                0.58039,                 0.4375,                0.42726,                0.20236,                 1.4311,                  2.786,                 2.0583,             0.00079765,             0.00079765,             0.00079765
                      7,                 1.2965,                 1.9367,                 1.5163,                0.44023,                0.58991,                0.52765,                0.30802,                  1.253,                 2.1145,                 2.0618,             0.00087172,             0.00087172,             0.00087172
                      8,                 1.2651,                 1.8385,                  1.505,                0.58202,                    0.5,                0.58843,                0.39047,                 1.2402,                 2.5121,                 1.8249,             0.00092797,             0.00092797,             0.00092797
                      9,                 1.2826,                 1.7807,                 1.5331,                0.47266,                  0.625,                0.54273,                0.31302,                 1.4091,                 2.6208,                 2.1615,              0.0009664,              0.0009664,              0.0009664
                     10,                  1.299,                 1.8287,                 1.5119,                0.41163,                0.65625,                0.44123,                0.21633,                 1.5694,                 2.4001,                 2.4388,             0.00098701,             0.00098701,             0.00098701
                     11,                 1.2988,                 1.9962,                 1.6142,                0.85563,                 0.5625,                0.70707,                0.43985,                 1.3239,                 1.9244,                 2.0982,              0.0009898,              0.0009898,              0.0009898
                     12,                 1.2499,                 1.9285,                 1.5497,                0.80403,                0.51324,                0.64376,                0.28652,                 1.7449,                 2.2594,                 2.6064,               0.000911,               0.000911,               0.000911
                     13,                 1.2539,                 1.8179,                 1.5774,                0.23673,                 0.3125,                0.28797,                0.12778,                 1.6122,                 2.5189,                 2.2842,               0.000812,               0.000812,               0.000812
                     14,                 1.1997,                 1.7379,                 1.5193,                0.72335,                 0.8125,                0.84711,                0.54599,                 1.0614,                 1.5728,                 1.5094,               0.000713,               0.000713,               0.000713
                     15,                 1.1281,                 1.7151,                   1.49,                0.84432,                0.67819,                0.83503,                0.50215,                 1.2332,                 1.8143,                 1.7819,               0.000614,               0.000614,               0.000614
                     16,                 1.1239,                 1.6688,                 1.4654,                0.90864,                   0.75,                0.90564,                 0.5875,                 1.1014,                 1.4224,                 1.6838,               0.000515,               0.000515,               0.000515
                     17,                 1.1026,                 1.5747,                 1.4672,                0.95559,                 0.8125,                0.92603,                0.63875,                 0.9211,                 1.2052,                 1.3831,               0.000416,               0.000416,               0.000416
                     18,                 1.0583,                 1.5298,                 1.4235,                0.93153,                 0.8505,                0.92238,                0.65309,                0.95657,                 1.1182,                 1.4206,               0.000317,               0.000317,               0.000317
                     19,                0.99142,                 1.4157,                  1.391,                0.87337,                0.84375,                0.92422,                0.70078,                0.89913,                 1.0833,                 1.3415,               0.000218,               0.000218,               0.000218
                     20,                0.93274,                 1.4126,                 1.3432,                0.89815,                0.82699,                0.93189,                0.72132,                0.84789,                  1.035,                 1.2611,               0.000119,               0.000119,               0.000119
