                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98581,                 1.4078,                 1.3879,                0.95932,                0.84375,                0.94815,                0.72334,                0.82369,                0.95614,                 1.2313,                0.00016,                0.00016,                0.00016
                      2,                0.97098,                 1.4186,                 1.3548,                0.93454,                0.89257,                0.93424,                0.67901,                0.95651,                 1.0572,                 1.3526,             0.00033663,             0.00033663,             0.00033663
                      3,                 1.0008,                 1.4495,                 1.3875,                0.92332,                0.65625,                0.85947,                0.55872,                  1.115,                 1.2447,                  1.472,              0.0005097,              0.0005097,              0.0005097
                      4,                 1.0616,                 1.4624,                 1.4014,                0.77328,                0.74619,                0.82704,                0.57158,                  1.077,                 1.1593,                 1.5388,             0.00067921,             0.00067921,             0.00067921
                      5,                 1.1293,                 1.5189,                 1.4531,                0.71837,                0.71875,                0.77394,                0.53991,                 1.1624,                 1.3761,                 1.6047,             0.00084515,             0.00084515,             0.00084515
                      6,                 1.1956,                 1.6055,                 1.4985,                0.63218,                0.21875,                0.28125,                0.18195,                 1.7242,                 2.6348,                 2.0383,              0.0010075,              0.0010075,              0.0010075
                      7,                 1.1614,                 1.5406,                 1.4977,                 0.2778,                0.46875,                0.31888,                0.18368,                 1.7311,                 2.3878,                 2.0282,              0.0011663,              0.0011663,              0.0011663
                      8,                 1.1458,                 1.5209,                 1.4908,                0.53719,                0.54431,                0.55546,                0.35857,                 1.2353,                 1.8923,                 1.7188,              0.0013216,              0.0013216,              0.0013216
                      9,                 1.1945,                 1.5672,                 1.5275,                0.06088,                0.28125,                0.04814,                0.02087,                 1.8985,                 3.1801,                  2.248,              0.0014733,              0.0014733,              0.0014733
                     10,                 1.1902,                 1.5826,                 1.5145,                0.59908,                0.40625,                0.45793,                0.25833,                 1.7021,                 2.2237,                 2.0517,              0.0016214,              0.0016214,              0.0016214
                     11,                 1.2797,                 1.5648,                 1.5608,                0.30049,                    0.5,                0.34422,                0.20255,                 1.5148,                 2.4812,                 1.7905,               0.001766,               0.001766,               0.001766
                     12,                 1.2702,                 1.6328,                  1.571,                0.41943,                0.56446,                 0.4592,                0.25329,                 1.7305,                 2.2365,                 2.1471,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2871,                 1.6447,                 1.5754,                0.52468,                0.31056,                 0.3518,                0.20293,                 1.6291,                 2.6759,                 2.1201,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2547,                 1.5624,                 1.5572,                0.83108,                0.40625,                0.44805,                0.24338,                 1.7416,                 2.6083,                 2.6051,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2377,                 1.5816,                 1.5398,                0.54466,                0.53125,                0.59699,                0.37302,                 1.4931,                 1.9986,                 2.0379,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.258,                 1.5795,                 1.5568,                0.69737,                0.59375,                0.65068,                0.37856,                 1.4194,                 1.8491,                 1.8895,               0.001703,               0.001703,               0.001703
                     17,                 1.2702,                 1.5621,                 1.5704,                0.48842,                0.74596,                0.59622,                0.28933,                 1.6237,                 2.9082,                  2.162,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2482,                 1.5527,                 1.5462,                0.15233,                0.15625,                0.04589,                0.02678,                 3.3222,                 6.4087,                  3.542,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.2122,                 1.5031,                 1.5459,                0.62755,                0.31611,                 0.3434,                 0.1888,                  2.006,                 3.2606,                 2.2939,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2343,                 1.4948,                 1.5322,                0.59248,                  0.625,                0.61837,                0.36604,                 1.5123,                 2.7983,                   2.58,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1928,                 1.5016,                 1.5426,                0.77291,                  0.625,                0.74883,                0.54525,                 1.1357,                 1.8364,                 1.5541,               0.001604,               0.001604,               0.001604
                     22,                 1.2005,                 1.4513,                 1.5359,                0.55744,                 0.5625,                0.59706,                0.47376,                0.98435,                 1.9519,                 1.4549,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1634,                 1.4049,                 1.4929,                0.70192,                0.80953,                0.80964,                0.56461,                 1.1235,                 1.6917,                 1.7398,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1125,                  1.388,                 1.4681,                0.79021,                0.71875,                0.79007,                0.52643,                 1.0946,                 1.2775,                 1.5832,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1255,                 1.3888,                 1.4521,                0.76478,                0.60992,                0.72203,                0.41234,                 1.4012,                 1.5803,                 2.0738,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1054,                 1.3737,                 1.4411,                0.32684,                0.59375,                0.34221,                0.22281,                 1.5643,                 2.4632,                 2.0851,               0.001505,               0.001505,               0.001505
                     27,                  1.106,                 1.3903,                  1.477,                0.46469,                  0.625,                0.51323,                 0.3141,                 1.3638,                 2.1515,                 1.8066,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1119,                  1.344,                  1.444,                0.78073,                   0.75,                0.77867,                0.54583,                 1.0745,                 1.4314,                 1.5328,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0764,                 1.3021,                  1.447,                0.70272,                0.73891,                0.78267,                0.57052,                  1.006,                 1.2343,                 1.4348,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0654,                 1.2679,                 1.4313,                0.96123,                0.77493,                0.90503,                0.64719,                 1.0538,                0.89758,                   1.52,              0.0014258,              0.0014258,              0.0014258
